Route_ID,Route_Name,Action_Taken,New_Route_ID,Old_Wait_Time,New_Wait_Time,Population_Served,Residential_Score,Commercial_Score,Composite_Demand_Score,HV_POI_Count,Time_Saved_Mins,Cumulative_Person_Minutes_Saved_Daily
R0106,AMPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-158,33,15,71330,5987.07,293.77,6280.84,5,18,1283940
R0592,OLD JANIPUR LAKKAR MANDI ↔ KARWAL MALKAY CHAK,RETAINED_AS_FEEDER,FDR-288,33,15,70711,3229.11,285.41,3514.52,7,18,1272798
R0057,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-155,22,15,176591,5815.23,510.42,6325.65,17,7,1236137
R0786,SATWARI ↔ KHERI RAYAL,RETAINED_AS_FEEDER,FDR-221,24,15,136785,5087.59,278.96,5366.55,9,9,1231065
R0571,NARWAL ↔ GAJANSOO SAHARAN,RETAINED_AS_FEEDER,FDR-244,25,15,122828,4686.3,104.92,4791.22,5,10,1228280
R0128,AMPHALLA ↔ MARALIAN,RETAINED_AS_FEEDER,FDR-237,25,15,122477,4471.11,492.83,4963.94,15,10,1224770
R0750,SANGRAMPUR ↔ PANJTIRTHI,RETAINED_AS_FEEDER,FDR-116,29,15,86997,6700.84,616.19,7317.03,8,14,1217958
R0352,JANIPUR ↔ GREATER KAILASH FAWARA CHOWK,RETAINED_AS_FEEDER,FDR-043,23,15,152227,8407.54,759.42,9166.96,16,8,1217816
R0615,PALOURA ↔ SAHZATPUR,RETAINED_AS_FEEDER,FDR-253,20,15,241040,4425.51,156.06,4581.57,10,5,1205200
R0158,BAKSHI NAGAR ↔ DOUNGIAN,RETAINED_AS_FEEDER,FDR-162,31,15,75131,6008.56,219.93,6228.49,5,16,1202096
R0156,BAKSHI NAGAR ↔ DOUNGIAN,RETAINED_AS_FEEDER,FDR-161,31,15,75131,6008.56,219.93,6228.49,5,16,1202096
R0610,PALOURA ↔ PARWAHA SAHZADPUR,RETAINED_AS_FEEDER,FDR-213,21,15,198938,5333.46,227.88,5561.34,10,6,1193628
R0456,KUNJWANI ↔ BISHNAH,MERGED_INTO_TRUNK,TRK-003,31,5,45183,2288.56,0.0,2288.56,0,26,1174758
R0455,KUNJWANI ↔ BISHNAH,MERGED_INTO_TRUNK,TRK-003,31,5,45183,2288.56,0.0,2288.56,0,26,1174758
R0302,JANIPUR ↔ LAHORI CHAK,RETAINED_AS_FEEDER,FDR-284,32,15,68918,3635.87,0.0,3635.87,0,17,1171606
R0742,ROOP NAGAR ↔ KANACHAK LALYAL,RETAINED_AS_FEEDER,FDR-177,22,15,167258,5786.47,242.17,6028.64,7,7,1170806
R0247,JANIPUR ↔ TOP MANASA,RETAINED_AS_FEEDER,FDR-271,30,15,77385,3685.18,297.63,3982.81,7,15,1160775
R0048,AMPHALLA ↔ SIMBAL CAMP,RETAINED_AS_FEEDER,FDR-218,26,15,104656,4864.55,522.92,5387.47,12,11,1151216
R0572,NARWAL BALA ↔ SERI PANDITA,RETAINED_AS_FEEDER,FDR-179,24,15,121538,5456.74,460.2,5916.94,11,9,1093842
R0004,AMBPHALA ↔ BADORI SMAILPUR,RETAINED_AS_FEEDER,FDR-126,21,15,181256,6498.96,510.94,7009.9,15,6,1087536
R0619,PANJHIRTHI ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-039,32,15,63204,8786.88,590.85,9377.73,5,17,1074468
R0682,PANJTIRTHI ↔ FAWARA CHOWK GREATER KAILASH,RETAINED_AS_FEEDER,FDR-053,22,15,152868,8448.55,414.5,8863.05,9,7,1070076
R0734,RAIKA ↔ VIJAYPUR,RETAINED_AS_FEEDER,FDR-287,21,15,175933,3360.06,171.89,3531.95,9,6,1055598
R0097,AMPHALLA ↔ GHO MANHASAN,RETAINED_AS_FEEDER,FDR-145,27,15,87392,5981.25,547.53,6528.78,8,12,1048704
R0351,JANIPUR ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-079,21,15,173395,7752.27,603.57,8355.84,15,6,1040370
R0340,JANIPUR ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-078,21,15,173395,7752.27,603.57,8355.84,15,6,1040370
R0522,MUTHI CAMP ↔ BAHU FORT,RETAINED_AS_FEEDER,FDR-090,25,15,103302,7511.78,490.84,8002.62,9,10,1033020
R0305,JANIPUR ↔ CHANNI HIMMAT,RETAINED_AS_FEEDER,FDR-088,25,15,102683,7477.64,673.61,8151.25,10,10,1026830
R0323,JANIPUR ↔ GHO MANHASAN,RETAINED_AS_FEEDER,FDR-247,31,15,62576,4660.11,0.0,4660.11,0,16,1001216
R0262,JANIPUR ↔ KOTLI MIAN FETHY,RETAINED_AS_FEEDER,FDR-222,23,15,124779,4943.9,416.02,5359.92,12,8,998232
R0301,JANIPUR ↔ BARI BRAHMANA,RETAINED_AS_FEEDER,FDR-056,21,15,165959,8107.82,659.53,8767.35,15,6,995754
R0697,PANJTIRTHI ↔ KUNJWANI TALAB,RETAINED_AS_FEEDER,FDR-133,22,15,136263,6687.75,110.43,6798.18,3,7,953841
R0669,PANJTIRTHI ↔ KUNJWANI TALAB,RETAINED_AS_FEEDER,FDR-132,22,15,136263,6687.75,110.43,6798.18,3,7,953841
R0066,AMPHALLA ↔ SIMBAL CAMP,RETAINED_AS_FEEDER,FDR-216,24,15,104198,4897.44,528.76,5426.2,12,9,937782
R0194,BAWA TALAB ↔ GHO MANHASA,RETAINED_AS_FEEDER,FDR-267,32,15,54675,4115.23,0.0,4115.23,0,17,929475
R0095,AMPHALLA ↔ KOTLI BISHNAH,RETAINED_AS_FEEDER,FDR-270,22,15,130739,3640.44,375.91,4016.35,15,7,915173
R0222,HIGH COURT JANIPUR GRID STAION ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-250,23,15,114270,4274.01,345.98,4619.99,10,8,914160
R0584,NEW HIGH COURT JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-251,23,15,114270,4274.01,345.98,4619.99,10,8,914160
R0023,AMPHALLA ↔ SARORE,RETAINED_AS_FEEDER,FDR-084,21,15,151896,7442.6,759.47,8202.07,17,6,911376
R0582,NARWAL PAIN CDA ROAD ↔ KOTLI JEEVAN NAGAR,RETAINED_AS_FEEDER,FDR-240,41,15,34663,4736.68,136.65,4873.33,1,26,901238
R0429,J D A COMPLEX NEW PLOT ↔ SUJWAN,RETAINED_AS_FEEDER,FDR-187,19,15,225166,5365.95,393.21,5759.16,18,4,900664
R0741,ROOP NAGAR ↔ CHATHA MILL,RETAINED_AS_FEEDER,FDR-131,22,15,128119,6498.22,367.72,6865.94,8,7,896833
R0412,JANIPUR GRID STATION ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-236,23,15,110735,4625.14,344.58,4969.72,9,8,885880
R0253,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-137,22,15,124970,6205.06,521.35,6726.41,12,7,874790
R0654,PANJTIRTHI ↔ GOLE GUJRAL,RETAINED_AS_FEEDER,FDR-030,29,15,61708,8635.32,979.57,9614.89,7,14,863912
R0117,AMPHALLA ↔ KHARIAN,RETAINED_AS_FEEDER,FDR-087,24,15,95229,7279.39,879.07,8158.46,13,9,857061
R0525,MUTHI MIGRANT CAMP PHASE II ↔ BAHUFORT,RETAINED_AS_FEEDER,FDR-170,22,15,121863,5810.75,369.54,6180.29,10,7,853041
R0168,BAKSHI NAGAR PULLI ↔ GHO MANHASAN SAAGNI,RETAINED_AS_FEEDER,FDR-197,27,15,71005,5604.18,78.93,5683.11,1,12,852060
R0415,JANIPUR HIGH COURT ↔ GANGYAL,RETAINED_AS_FEEDER,FDR-092,25,15,84993,7602.92,313.09,7916.01,5,10,849930
R0339,JANIPUR ↔ KOTLI MIAN FETHY,RETAINED_AS_FEEDER,FDR-239,21,15,141628,4556.45,369.98,4926.43,13,6,849768
R0134,BABA TALAB ↔ MARH GAJANSOO,RETAINED_AS_FEEDER,FDR-001,28,15,63794,9075.83,284.54,9360.37,2,13,829322
R0489,MAHESHPURA ↔ GHO MANHASAN,RETAINED_AS_FEEDER,FDR-285,25,15,82508,3578.28,43.37,3621.65,1,10,825080
R0131,AMPHALLA ↔ GOLE GUJRAL KHARIAN,RETAINED_AS_FEEDER,FDR-015,29,15,58558,9303.78,1271.05,10574.83,8,14,819812
R0089,AMPHALLA ↔ SUNJWAN,RETAINED_AS_FEEDER,FDR-105,25,15,81248,6628.7,795.46,7424.16,12,10,812480
R0414,JANIPUR GRID STATION ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-226,21,15,135053,4935.97,383.76,5319.73,12,6,810318
R0420,JANIPUR HOUSING COLONY ↔ BARI BRAH  SMAILPUR,RETAINED_AS_FEEDER,FDR-130,19,15,201429,6493.73,394.92,6888.65,13,4,805716
R0208,BSF PALOURA ↔ LAHORI CHACK,RETAINED_AS_FEEDER,FDR-286,28,15,61603,3539.59,0.0,3539.59,0,13,800839
R0030,AMPHALLA ↔ KHERI REHAL,RETAINED_AS_FEEDER,FDR-243,22,15,112695,4365.99,484.27,4850.26,14,7,788865
R0748,ROOP NAGAR HOUSING COLONY ↔ SIMBAL CAMP,RETAINED_AS_FEEDER,FDR-198,21,15,130688,5306.05,375.56,5681.61,10,6,784128
R0075,AMPHALLA ↔ CHOWADI BIRPUR,RETAINED_AS_FEEDER,FDR-175,23,15,97628,5664.19,377.12,6041.31,8,8,781024
R0322,JANIPUR ↔ SUNJWAN,RETAINED_AS_FEEDER,FDR-118,22,15,111262,6785.92,503.17,7289.09,9,7,778834
R0698,PANJTIRTHI ↔ PATTA BOHRI,RETAINED_AS_FEEDER,FDR-019,27,15,64866,9133.48,985.64,10119.12,7,12,778392
R0767,SATWARI ↔ CHANNI THALWAL,RETAINED_AS_FEEDER,FDR-224,25,15,77726,5205.68,133.95,5339.63,2,10,777260
R0746,ROOP NAGAR ↔ MISHRIWALA,RETAINED_AS_FEEDER,FDR-104,20,15,153948,7145.08,324.89,7469.97,7,5,769740
R0336,JANIPUR ↔ BHATHINDI,RETAINED_AS_FEEDER,FDR-117,24,15,84484,6728.58,577.41,7305.99,8,9,760356
R0094,AMPHALLA ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-141,22,15,107644,5903.48,685.53,6589.01,14,7,753508
R0083,AMPHALLA ↔ REHAL SAIDGARH BARI BRAHMANA SARORE,RETAINED_AS_FEEDER,FDR-049,20,15,150206,8196.33,845.79,9042.12,17,5,751030
R0477,MAHESHPURA ↔ MARH,RETAINED_AS_FEEDER,FDR-235,25,15,73198,5012.19,0.0,5012.19,0,10,731980
R0201,BIKRAM CHOWK ↔ CAMP GOLE GOJRAL,UPGRADED_TO_TRUNK,TRK-006,19,5,52037,8684.41,375.5,9059.91,3,14,728518
R0794,VIKRAM CHOWK ↔ CAMP GOLE GUJRAL,MERGED_INTO_TRUNK,TRK-006,19,5,52037,8684.41,375.5,9059.91,3,14,728518
R0257,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-241,21,15,120154,4515.03,347.59,4862.62,10,6,720924
R0324,JANIPUR ↔ SHASTRI NAGAR,RETAINED_AS_FEEDER,FDR-036,23,15,89853,8719.36,752.06,9471.42,10,8,718824
R0127,AMPHALLA ↔ BHATHINDI,RETAINED_AS_FEEDER,FDR-139,26,15,64728,6290.38,340.14,6630.52,5,11,712008
R0365,JANIPUR ↔ NADI KHAPPAR,RETAINED_AS_FEEDER,FDR-302,21,15,117220,2623.31,167.85,2791.16,9,6,703320
R0054,AMPHALLA ↔ GANGYAL,RETAINED_AS_FEEDER,FDR-238,23,15,87531,4469.29,472.3,4941.59,10,8,700248
R0514,MAHESPURA ↔ LAHORI CHACK GHOU MANHASAN,RETAINED_AS_FEEDER,FDR-184,24,15,76279,5755.17,75.45,5830.62,1,9,686511
R0471,MAHESHPURA ↔ GHOU MANHASAN,RETAINED_AS_FEEDER,FDR-183,24,15,76279,5755.17,75.45,5830.62,1,9,686511
R0212,BUS STAND MAHESHPURA ↔ GHO MANHASAN LAHORI CHAK,RETAINED_AS_FEEDER,FDR-182,24,15,76279,5755.17,75.45,5830.62,1,9,686511
R0295,JANIPUR ↔ GUJJAR NAGAR,RETAINED_AS_FEEDER,FDR-114,18,15,224600,6941.74,401.79,7343.53,16,3,673800
R0266,JANIPUR ↔ SANGRAMPUR,RETAINED_AS_FEEDER,FDR-098,22,15,96253,7218.61,449.98,7668.59,6,7,673771
R0478,MAHESHPURA ↔ BAGGA JANA,RETAINED_AS_FEEDER,FDR-199,21,15,112205,5358.15,310.4,5668.55,8,6,673230
R0274,JANIPUR ↔ MUTHI VILLAGE,RETAINED_AS_FEEDER,FDR-046,21,15,111950,8600.95,537.8,9138.75,7,6,671700
R0769,SATWARI ↔ BADYAL,RETAINED_AS_FEEDER,FDR-291,19,15,167615,3187.75,114.11,3301.86,6,4,670460
R0074,AMPHALLA ↔ CHANNI HIMMAT,RETAINED_AS_FEEDER,FDR-115,24,15,74483,6919.64,418.06,7337.7,6,9,670347
R0345,JANIPUR ↔ CHATHA,RETAINED_AS_FEEDER,FDR-140,21,15,111555,6212.69,403.76,6616.45,8,6,669330
R0256,JANIPUR ↔ SUNJWAN,RETAINED_AS_FEEDER,FDR-111,21,15,110936,6865.28,510.55,7375.83,9,6,665616
R0291,JANIPUR ↔ LADORE,RETAINED_AS_FEEDER,FDR-124,20,15,132071,6716.04,355.96,7072.0,7,5,660355
R0299,JANIPUR ↔ LADORE,RETAINED_AS_FEEDER,FDR-125,20,15,132071,6716.04,355.96,7072.0,7,5,660355
R0289,JANIPUR ↔ MALKEY CHAK MAKWAL,RETAINED_AS_FEEDER,FDR-322,21,15,109774,1850.48,139.07,1989.55,9,6,658644
R0282,JANIPUR ↔ MAKWAL CAMP,RETAINED_AS_FEEDER,FDR-321,21,15,109774,1850.48,139.07,1989.55,9,6,658644
R0275,JANIPUR ↔ SUM TOPH MAKWAL,RETAINED_AS_FEEDER,FDR-320,21,15,109774,1850.48,139.07,1989.55,9,6,658644
R0184,BANTALAB ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-032,21,15,108616,8647.77,895.7,9543.47,12,6,651696
R0195,BAWA TALAB ↔ MARH,MERGED_INTO_TRUNK,TRK-001,22,5,37888,3221.49,0.0,3221.49,0,17,644096
R0133,BABA TALAB ↔ MARH,UPGRADED_TO_TRUNK,TRK-001,22,5,37888,3221.49,0.0,3221.49,0,17,644096
R0008,AMBPHALLA ↔ BATHINDI,RETAINED_AS_FEEDER,FDR-136,25,15,64345,6379.64,347.02,6726.66,5,10,643450
R0332,JANIPUR ↔ KARWAL,RETAINED_AS_FEEDER,FDR-268,23,15,80214,3810.1,296.87,4106.97,7,8,641712
R0594,PAJJTHIRTHI ↔ NARI KHEPAR,RETAINED_AS_FEEDER,FDR-255,21,15,105967,4365.09,175.07,4540.16,5,6,635802
R0554,NARWAL ↔ SHOA JANDIAL,RETAINED_AS_FEEDER,FDR-245,20,15,126475,4447.24,342.84,4790.08,12,5,632375
R0418,JANIPUR HOUSING COLONY ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-035,22,15,89111,8304.07,1188.15,9492.22,15,7,623777
R0199,B C ROAD ↔ KATTAL BATTAL,UPGRADED_TO_TRUNK,TRK-002,20,5,41313,2605.35,204.96,2810.31,4,15,619695
R0163,BAKSHI NAGAR PULI ↔ BARNAI BANTALAB,RETAINED_AS_FEEDER,FDR-044,25,15,61663,8230.51,934.33,9164.84,7,10,616630
R0411,JANIPUR COLONY ↔ CHANNI HIMMAT,RETAINED_AS_FEEDER,FDR-072,21,15,102512,7737.92,660.48,8398.4,11,6,615072
R0546,NARWAL ↔ GHO MANHASAN,RETAINED_AS_FEEDER,FDR-176,21,15,101456,5880.83,159.4,6040.23,5,6,608736
R0373,JANIPUR ↔ SIMBAL CAMP,RETAINED_AS_FEEDER,FDR-209,20,15,121266,5178.1,394.98,5573.08,10,5,606330
R0424,JANIPUR HOUSING COLONY ↔ BARI BRAH  SMAILPUR,RETAINED_AS_FEEDER,FDR-128,18,15,201250,6537.91,397.96,6935.87,13,3,603750
R0480,MAHESHPURA ↔ JHIRI KALYANPUR,RETAINED_AS_FEEDER,FDR-185,20,15,120084,5671.56,94.46,5766.02,2,5,600420
R0317,JANIPUR ↔ KANA CHAK LALYAL,RETAINED_AS_FEEDER,FDR-181,19,15,150098,5578.4,260.16,5838.56,7,4,600392
R0593,PAJJTHIRTHI ↔ NARI KHEPAR,RETAINED_AS_FEEDER,FDR-173,20,15,119737,5781.6,313.86,6095.46,8,5,598685
R0693,PANJTIRTHI ↔ FAWARA CHOWK GREATER KAILASH,RETAINED_AS_FEEDER,FDR-050,20,15,116510,8770.04,263.46,9033.5,5,5,582550
R0792,SATWARI TO ↔ REHAL,RETAINED_AS_FEEDER,FDR-307,27,15,48190,2421.85,100.51,2522.36,2,12,578280
R0617,PALOURA TO ↔ RAIPUR SUNDWAN,RETAINED_AS_FEEDER,FDR-228,26,15,52210,5116.62,98.0,5214.62,1,11,574310
R0087,AMPHALLA ↔ BADHORI,RETAINED_AS_FEEDER,FDR-212,18,15,191294,5150.34,417.32,5567.66,17,3,573882
R0137,BAHU FORT ↔ KUNJWANI,RETAINED_AS_FEEDER,FDR-102,22,15,81325,7176.58,352.98,7529.56,4,7,569275
R0145,BAHU FORT ↔ KUNWANI,RETAINED_AS_FEEDER,FDR-103,22,15,81325,7176.58,352.98,7529.56,4,7,569275
R0700,PANJTIRTHI ↔ CHANNI HIMMAT,RETAINED_AS_FEEDER,FDR-171,24,15,62582,5879.0,258.34,6137.34,5,9,563238
R0427,JANIPUR LAKKAR MANDI ↔ CHATHA,RETAINED_AS_FEEDER,FDR-142,20,15,112511,6181.92,398.35,6580.27,8,5,562555
R0140,BAHU FORT ↔ RAIPUR,RETAINED_AS_FEEDER,FDR-316,20,15,112350,2051.38,118.68,2170.06,8,5,561750
R0775,SATWARI ↔ SHER E KASHMIR UNIVERSITY,RETAINED_AS_FEEDER,FDR-195,22,15,80056,5447.84,238.18,5686.02,5,7,560392
R0215,CANAL HEAD ↔ GHO MANHASAN,RETAINED_AS_FEEDER,FDR-192,23,15,69123,5551.16,160.62,5711.78,2,8,552984
R0132,AMPHALLA ↔ MARALIAN MAMKA KHOUR,RETAINED_AS_FEEDER,FDR-261,21,15,92126,3992.63,444.22,4436.85,11,6,552756
R0731,POONCH COLONY BANTALAB ↔ SHASTRI NAGAR,RETAINED_AS_FEEDER,FDR-038,20,15,110194,8673.96,767.47,9441.43,12,5,550970
R0377,JANIPUR COLONEY ↔ SMAILPUR,RETAINED_AS_FEEDER,FDR-083,18,15,178181,7658.43,580.25,8238.68,15,3,534543
R0177,BAKSHI NAGAR PULLI ↔ CHAK JAFFAR,RETAINED_AS_FEEDER,FDR-263,21,15,88998,4087.35,321.48,4408.83,7,6,533988
R0152,BAHU FORT ↔ NAGROTA,RETAINED_AS_FEEDER,FDR-002,23,15,66225,4604.71,347.66,4952.37,8,8,529800
R0588,NEW HIGH COURT JANIPUR ↔ BADORI,RETAINED_AS_FEEDER,FDR-101,18,15,175764,6972.83,575.24,7548.07,16,3,527292
R0791,SATWARI (CANTONMENT BOARD GROUND ↔ SHER E KASHMIR UNIVERSITY,RETAINED_AS_FEEDER,FDR-191,22,15,75066,5464.11,254.77,5718.88,5,7,525462
R0727,PARADE ↔ PALOURA,RETAINED_AS_FEEDER,FDR-007,25,15,52397,8046.22,767.81,8814.03,5,10,523970
R0441,KOTLI HARI SINGH ↔ AKHNOOR,RETAINED_AS_FEEDER,FDR-323,20,15,104581,1833.76,140.27,1974.03,8,5,522905
R0211,BUS STAND K C ↔ BANTALAB UPPER THATHAR,RETAINED_AS_FEEDER,FDR-148,26,15,47467,6378.26,0.0,6378.26,0,11,522137
R0217,CHANNI HIMMAT ↔ RAIPUR KHERI,RETAINED_AS_FEEDER,FDR-201,21,15,86394,5149.55,476.84,5626.39,11,6,518364
R0437,KERAN ↔ NARI KHAPPAR,RETAINED_AS_FEEDER,FDR-304,21,15,86145,2568.81,119.28,2688.09,4,6,516870
R0445,KUNJWANI ↔ KOTLI MIAN FATHEY,UPGRADED_TO_TRUNK,TRK-004,20,5,34307,3871.68,0.0,3871.68,0,15,514605
R0461,KUNJWANI ↔ KOTLI MIAN FATEH,MERGED_INTO_TRUNK,TRK-004,20,5,34307,3871.68,0.0,3871.68,0,15,514605
R0457,KUNJWANI ↔ KOTLI MIAN FATHE,MERGED_INTO_TRUNK,TRK-004,20,5,34307,3871.68,0.0,3871.68,0,15,514605
R0778,SATWARI ↔ HAKKAL,RETAINED_AS_FEEDER,FDR-223,21,15,85577,5138.83,210.17,5349.0,5,6,513462
R0166,BAKSHI NAGAR PULLI ↔ BARNAI,RETAINED_AS_FEEDER,FDR-095,21,15,83088,7222.53,608.48,7831.01,7,6,498528
R0304,JANIPUR ↔ KHAIRI REHAL,RETAINED_AS_FEEDER,FDR-298,23,15,61783,2711.09,230.37,2941.46,6,8,494264
R0521,MUTHI ↔ BAHUFORT,RETAINED_AS_FEEDER,FDR-099,20,15,96722,7025.13,562.9,7588.03,10,5,483610
R0523,MUTHI GAON ↔ BAHU FORT,RETAINED_AS_FEEDER,FDR-100,20,15,96722,7025.13,562.9,7588.03,10,5,483610
R0025,AMPHALLA ↔ KHERIAN,RETAINED_AS_FEEDER,FDR-070,18,15,158858,7682.84,797.99,8480.83,18,3,476574
R0216,CHANNI HIMMAT ↔ RAIPUR,RETAINED_AS_FEEDER,FDR-230,23,15,59107,4920.25,166.49,5086.74,2,8,472856
